coin,fundingRate,premium,time
XLM,-5.6639e-06,-0.0005453112,2026-02-10 13:00:00.106
XLM,-2.42335e-05,-0.0006938681,2026-02-10 14:00:00.038
XLM,-5.4777e-06,-0.0005438213,2026-02-10 15:00:00.006
XLM,-9.3356e-06,-0.0005746851,2026-02-10 16:00:00.009
XLM,-1.92254e-05,-0.0006538031,2026-02-10 17:00:00.070
XLM,-4.40197e-05,-0.0008521579,2026-02-10 18:00:00.065
XLM,-1.15593e-05,-0.0005924742,2026-02-10 19:00:00.015
XLM,-3.35459e-05,-0.0007683669,2026-02-10 20:00:00.053
XLM,-2.77164e-05,-0.0007217311,2026-02-10 21:00:00.100
XLM,-1.51982e-05,-0.0006215854,2026-02-10 22:00:00.070
XLM,-3.21766e-05,-0.0007574125,2026-02-10 23:00:00.016
XLM,-1.19718e-05,-0.0005957747,2026-02-11 00:00:00.036
XLM,-2.21859e-05,-0.0006774875,2026-02-11 01:00:00.007
XLM,-1.38543e-05,-0.0006108345,2026-02-11 02:00:00.051
XLM,3.6312e-06,-0.0004709504,2026-02-11 03:00:00.098
XLM,1.07485e-05,-0.0004140123,2026-02-11 04:00:00.071
XLM,1.06312e-05,-0.0004149507,2026-02-11 05:00:00.030
XLM,-2.28092e-05,-0.0006824737,2026-02-11 06:00:00.005
XLM,-4.03367e-05,-0.0008226937,2026-02-11 07:00:00.062
XLM,-4.78709e-05,-0.0008829675,2026-02-11 08:00:00.095
XLM,-3.38697e-05,-0.0007709575,2026-02-11 09:00:00.114
XLM,-2.50726e-05,-0.0007005807,2026-02-11 10:00:00.048
XLM,-3.5101e-05,-0.0007808077,2026-02-11 11:00:00.086
XLM,-4.76232e-05,-0.0008809859,2026-02-11 12:00:00.022
XLM,-5.04219e-05,-0.000903375,2026-02-11 13:00:00.055
XLM,-3.49427e-05,-0.0007795414,2026-02-11 14:00:00.087
XLM,7.2264e-06,-0.0004421889,2026-02-11 15:00:00.012
XLM,-2.4914e-06,-0.0005199308,2026-02-11 16:00:00.074
XLM,-1.75899e-05,-0.0006407189,2026-02-11 17:00:00.077
XLM,-4.13738e-05,-0.0008309903,2026-02-11 18:00:00.062
XLM,-3.13032e-05,-0.0007504258,2026-02-11 19:00:00.045
XLM,-1.74561e-05,-0.0006396491,2026-02-11 20:00:00.051
XLM,-3.13792e-05,-0.0007510337,2026-02-11 21:00:00.053
XLM,-1.9491e-05,-0.0006559284,2026-02-11 22:00:00.067
XLM,-1.03442e-05,-0.0005827539,2026-02-11 23:00:00.087
XLM,-2.38942e-05,-0.0006911537,2026-02-12 00:00:00.006
XLM,-2.12107e-05,-0.0006696854,2026-02-12 01:00:00.034
XLM,-1.14257e-05,-0.0005914057,2026-02-12 02:00:00.037
XLM,-2.9718e-06,-0.0005237743,2026-02-12 03:00:00.057
XLM,-1.83971e-05,-0.0006471766,2026-02-12 04:00:00.004
XLM,-1.8176e-05,-0.0006454078,2026-02-12 05:00:00.075
XLM,-2.49394e-05,-0.0006995153,2026-02-12 06:00:00.077
XLM,-2.73866e-05,-0.0007190931,2026-02-12 07:00:00.029
XLM,-3.53467e-05,-0.0007827737,2026-02-12 08:00:00.036
XLM,-2.3953e-05,-0.0006916242,2026-02-12 09:00:00.054
XLM,-1.71838e-05,-0.0006374705,2026-02-12 10:00:00.022
XLM,-1.85266e-05,-0.0006482124,2026-02-12 11:00:00.008
XLM,-1.75807e-05,-0.000640646,2026-02-12 12:00:00.064
XLM,-1.34032e-05,-0.0006072254,2026-02-12 13:00:00.056
XLM,-1.96341e-05,-0.0006570725,2026-02-12 14:00:00.023
XLM,-1.88583e-05,-0.0006508663,2026-02-12 15:00:00.004
XLM,-8.2148e-06,-0.0005657182,2026-02-12 16:00:00.043
XLM,3.289e-06,-0.0004736877,2026-02-12 17:00:00.026
XLM,-2.5066e-06,-0.000520053,2026-02-12 18:00:00.015
XLM,1.022e-06,-0.0004918241,2026-02-12 19:00:00.053
XLM,-2.0551e-06,-0.0005164407,2026-02-12 20:00:00.037
XLM,-1.3022e-05,-0.000604176,2026-02-12 21:00:00.043
XLM,-1.04595e-05,-0.0005836763,2026-02-12 22:00:00.010
XLM,-5.4245e-06,-0.0005433957,2026-02-12 23:00:00.072
XLM,2.8892e-06,-0.0004768865,2026-02-13 00:00:00.092
XLM,5.908e-06,-0.0004527362,2026-02-13 01:00:00.083
XLM,8.767e-07,-0.0004929868,2026-02-13 02:00:00.050
XLM,-2.5384e-06,-0.000520307,2026-02-13 03:00:00.009
XLM,-1.9793e-06,-0.0005158342,2026-02-13 04:00:00.087
XLM,1.16418e-05,-0.0004068656,2026-02-13 05:00:00.083
XLM,-5.842e-06,-0.0005467362,2026-02-13 06:00:00.070
XLM,8.224e-07,-0.0004934206,2026-02-13 07:00:00.056
XLM,-5.6841e-06,-0.0005454727,2026-02-13 08:00:00.018
XLM,-1.6035e-05,-0.0006282802,2026-02-13 09:00:00.087
XLM,-1.64934e-05,-0.0006319471,2026-02-13 10:00:00.004
XLM,-2.9749e-05,-0.0007379921,2026-02-13 11:00:00.117
XLM,-2.24399e-05,-0.0006795189,2026-02-13 12:00:00.059
XLM,-3.9274e-06,-0.0005314196,2026-02-13 13:00:00.040
XLM,2.9012e-06,-0.00047679,2026-02-13 14:00:00.092
XLM,-3.0556e-06,-0.0005244446,2026-02-13 15:00:00.081
XLM,8.2019e-06,-0.0004343845,2026-02-13 16:00:00.038
